region1,region2,peak_lag_ms,peak_cc
LP,VISp,0.0,0.22461384836623471
LP,VISl,10.0,0.20950142468838326
LP,VISal,10.0,0.1910917274297337
LP,VISam,-10.0,0.19171622311949543
LP,CA1,0.0,0.06153002588023684
LP,CA3,-150.0,0.04739663085257182
VISp,VISl,0.0,0.24917543287152347
VISp,VISal,0.0,0.18440629861611255
VISp,VISam,0.0,0.3340952373629112
VISp,CA1,-40.0,0.06936841823346115
VISp,CA3,-100.0,0.05755835870847187
VISl,VISal,0.0,0.19847962040096698
VISl,VISam,-10.0,0.21418258402928314
VISl,CA1,20.0,0.057389837326366516
VISl,CA3,-110.0,0.043057308423209914
VISal,VISam,-10.0,0.16424760070051453
VISal,CA1,10.0,0.023965832284027024
VISal,CA3,-130.0,0.016447819032622154
VISam,CA1,0.0,0.041403960576419624
VISam,CA3,-100.0,0.027631286587381888
CA1,CA3,0.0,0.1846946411933706
