source,target,best_lag,p_value,f_stat,significant
LP,VISp,1,0.0,3465.7966204001027,True
LP,VISl,1,0.0,1925.8152065505808,True
LP,VISal,1,0.0,3485.3635244603647,True
LP,VISam,1,0.0,3674.4326879641853,True
LP,CA1,3,1.2516586220609118e-248,384.18938627823565,True
LP,CA3,4,9.968319641608796e-207,241.01492995812845,True
VISp,LP,5,0.0,331.11368729653657,True
VISp,VISl,4,0.0,480.5118723777325,True
VISp,VISal,3,0.0,566.36121284754,True
VISp,VISam,1,0.0,4795.797689273178,True
VISp,CA1,2,0.0,794.5679473373004,True
VISp,CA3,4,0.0,387.6015013317593,True
VISl,LP,1,0.0,2077.313301269394,True
VISl,VISp,1,0.0,5446.889328236881,True
VISl,VISal,1,0.0,3385.8958710426396,True
VISl,VISam,1,0.0,5361.850885675231,True
VISl,CA1,3,4.0405747627291525e-278,429.8604173272787,True
VISl,CA3,3,6.339088527815024e-225,347.5057589878765,True
VISal,LP,1,0.0,1549.7841012948852,True
VISal,VISp,2,0.0,911.655682965742,True
VISal,VISl,6,0.0,279.64159282686165,True
VISal,VISam,1,0.0,2209.6347745841035,True
VISal,CA1,2,3.08391899568791e-48,109.47655935589508,True
VISal,CA3,5,9.845005276534568e-29,28.256930739846748,True
VISam,LP,10,6.02190198664143e-302,144.01578492366957,True
VISam,VISp,1,0.0,3062.6879698967036,True
VISam,VISl,5,0.0,303.57779420690696,True
VISam,VISal,6,0.0,263.08497322095167,True
VISam,CA1,3,6.67504603321208e-140,216.10859130782882,True
VISam,CA3,4,5.193710849174803e-81,95.1756327478222,True
CA1,LP,4,1.2134907641916232e-194,226.98558350874512,True
CA1,VISp,3,6.187476257822619e-237,366.08958552976117,True
CA1,VISl,3,4.6024298949681875e-179,276.5976319063735,True
CA1,VISal,1,4.661742048953292e-30,129.79979799201064,True
CA1,VISam,4,3.6983548109567905e-120,140.57964384686562,True
CA1,CA3,1,0.0,3359.1264450138515,True
CA3,LP,4,5.248770069733427e-113,132.28572201426118,True
CA3,VISp,3,4.320602392796577e-167,258.09920408074817,True
CA3,VISl,3,4.043093778667178e-122,188.65778076723575,True
CA3,VISal,2,1.3059045212342878e-10,22.762358814516915,True
CA3,VISam,3,9.544394727694034e-52,80.0609329571225,True
CA3,CA1,1,0.0,1629.8411607884382,True
